PID, Wait Time, Turnaround, Response

1, 9682, 9697, 0
2, 6796, 6825, 6435
3, 4478, 4505, 41
4, 31, 44, 4
5, 8811, 8825, 8624
6, 3835, 3861, 23
7, 8202, 8243, 7234
8, 8552, 8623, 7234
9, 1836, 1861, 19
10, 3953, 4018, 3463
11, 5048, 5058, 4538
12, 5312, 5327, 4552
13, 72, 107, 6
14, 6952, 6962, 6323
15, 34, 78, 34
16, 139, 179, 42
17, 4940, 4946, 4503
18, 2125, 2131, 1738
19, 7002, 7048, 6301
20, 5793, 5844, 5244
21, 287, 307, 29
22, 4292, 4302, 3340
23, 2656, 2691, 1723
24, 3204, 3247, 2734
25, 2401, 2443, 1731
26, 2647, 2662, 1737
27, 108, 116, 41
28, 6073, 6129, 5158
29, 7006, 7019, 7006
30, 5072, 5091, 4386
31, 6749, 6762, 6171
32, 5135, 5172, 5135
33, 38, 53, 38
34, 8192, 8260, 6966
35, 8759, 8770, 8304
36, 1840, 1874, 1632
37, 6595, 6610, 6114
38, 9006, 9014, 8282
39, 4986, 5019, 4306
40, 3482, 3486, 3132
41, 2744, 2792, 2556
42, 1397, 1417, 24
43, 1586, 1588, 1586
44, 2895, 2934, 2543
45, 2828, 2876, 2563
46, 3927, 3937, 3106
47, 1330, 1341, 47
48, 1001, 1020, 70
49, 2989, 3041, 2555
50, 7286, 7306, 6844
51, 6348, 6400, 6013
52, 3415, 3466, 3084
53, 2407, 2424, 1516
54, 6202, 6211, 6011
55, 6467, 6479, 6030
56, 8160, 8201, 8160
57, 2679, 2713, 2521
58, 1222, 1257, 801
59, 8927, 8939, 8132
60, 7854, 7861, 6789
61, 4904, 4946, 4904
62, 4534, 4586, 4138
63, 341, 366, 2
64, 2308, 2367, 1441
65, 7186, 7205, 6765
66, 5241, 5245, 4881
67, 174, 228, 30
68, 1746, 1800, 1427
69, 3262, 3311, 2948
70, 7634, 7652, 6726
71, 5330, 5340, 4849
72, 4154, 4209, 4056
73, 358, 371, 53
74, 8217, 8271, 8015
75, 75, 110, 75
76, 616, 634, 80
77, 5649, 5665, 4848
78, 1136, 1163, 688
79, 2502, 2513, 2354
80, 7689, 7731, 6680
81, 8594, 8600, 7986
82, 2673, 2684, 2332
83, 3760, 3773, 2848
84, 3750, 3798, 2849
85, 5572, 5594, 4760
86, 492, 546, 69
87, 5221, 5239, 4750
88, 5491, 5504, 4773
89, 584, 599, 584
90, 7650, 7673, 6592
91, 3723, 3744, 2803
92, 8288, 8313, 7878
93, 5055, 5066, 4735
94, 2212, 2227, 2212
95, 6300, 6356, 5644
96, 6919, 6930, 6529
97, 7660, 7703, 6537
98, 1142, 1171, 1142
99, 8539, 8556, 7835
100, 571, 584, 488
