PID, Wait Time, Turnaround, Response
2, 1567, 1596, 0
3, 52, 68, 4
4, 0, 31, 0
5, 2047, 2051, 1995
6, 32, 75, 1
7, 1885, 1915, 1650
8, 1941, 2009, 1648
9, 3, 28, 0
10, 10, 65, 0
11, 33, 41, 2
12, 1066, 1097, 27
13, 13, 66, 0
14, 1497, 1505, 1376
15, 3, 47, 3
16, 5, 62, 3
17, 1034, 1057, 7
18, 14, 28, 3
19, 1487, 1541, 1337
20, 1194, 1263, 1098
21, 24, 42, 2
22, 216, 233, 196
23, 117, 140, 23
24, 162, 195, 114
25, 95, 136, 14
26, 113, 144, 30
27, 9, 35, 9
28, 1203, 1266, 1002
29, 1399, 1412, 1399
30, 966, 982, 870
31, 1306, 1318, 1201
32, 952, 989, 952
33, 8, 23, 8
34, 1605, 1670, 1342
35, 1754, 1764, 1660
36, 0, 52, 0
37, 1217, 1231, 1137
38, 1785, 1792, 1615
39, 867, 888, 769
40, 24, 27, 2
41, 11, 77, 11
42, 31, 66, 3
43, 87, 89, 87
44, 478, 516, 79
45, 457, 523, 428
46, 646, 664, 513
47, 36, 54, 3
48, 28, 47, 3
49, 482, 550, 406
50, 1281, 1309, 1202
51, 1066, 1126, 1015
52, 543, 594, 484
53, 71, 95, 21
54, 997, 1024, 997
55, 1081, 1111, 997
56, 1494, 1535, 1494
57, 403, 437, 361
58, 14, 49, 1
59, 1630, 1640, 1461
60, 1366, 1390, 1135
61, 700, 742, 700
62, 664, 716, 591
63, 37, 68, 3
64, 209, 276, 6
65, 1218, 1237, 1102
66, 732, 744, 672
67, 23, 95, 10
68, 162, 216, 31
69, 372, 420, 337
70, 1271, 1278, 1053
71, 701, 729, 614
72, 515, 570, 504
73, 29, 59, 3
74, 1381, 1425, 1331
75, 13, 48, 13
76, 56, 79, 22
77, 736, 768, 600
78, 76, 101, 56
79, 179, 208, 179
80, 1204, 1263, 988
81, 1393, 1406, 1278
82, 195, 223, 143
83, 359, 370, 212
84, 342, 388, 203
85, 662, 673, 494
86, 40, 93, 1
87, 560, 577, 478
88, 634, 655, 483
89, 33, 48, 33
90, 1122, 1144, 875
91, 265, 291, 153
92, 1236, 1269, 1149
93, 463, 482, 426
94, 32, 47, 32
95, 725, 787, 611
96, 857, 886, 800
97, 1035, 1094, 807
98, 2, 31, 2
99, 1241, 1266, 1093
100, 2, 15, 2
