PID, Wait Time, Turnaround, Response2, 4937, 4963, 4404
3, 1771, 1819, 14
4, 27, 93, 2
5, 4553, 4560, 4368
6, 1408, 1426, 8
7, 4039, 4047, 3772
8, 3757, 3759, 3757
9, 1723, 1727, 1723
10, 3045, 3057, 2598
11, 3384, 3407, 3136
12, 115, 138, 15
13, 4326, 4343, 4326
14, 284, 287, 240
15, 4230, 4256, 3695
16, 3470, 3489, 3110
17, 1785, 1787, 1637
18, 4789, 4797, 4242
19, 2640, 2693, 2497
20, 2751, 2755, 2507
21, 48, 71, 15
22, 135, 161, 79
23, 4531, 4598, 4224
24, 1423, 1491, 179
25, 2949, 2966, 2472
26, 1492, 1505, 215
27, 87, 141, 42
28, 89, 113, 61
29, 127, 178, 117
30, 2592, 2622, 2465
31, 4044, 4070, 3563
32, 4077, 4093, 3566
33, 4454, 4521, 4165
34, 2339, 2345, 1964
35, 4328, 4351, 4172
36, 1946, 1950, 1946
37, 1902, 1917, 1476
38, 3936, 3957, 3542
39, 1609, 1629, 1489
40, 2034, 2096, 1904
41, 2035, 2074, 1898
42, 4552, 4587, 4087
43, 37, 49, 16
44, 1724, 1738, 1422
45, 1861, 1890, 1861
46, 1753, 1783, 1412
47, 36, 59, 11
48, 1841, 1884, 1841
49, 136, 188, 35
50, 1627, 1679, 1382
51, 70, 122, 33
52, 2359, 2361, 2242
53, 1902, 1908, 1816
54, 3960, 4029, 3960
55, 17, 36, 17
56, 1205, 1237, 919
57, 2650, 2687, 2189
58, 1494, 1520, 1341
59, 2922, 2971, 2685
60, 4197, 4210, 3937
61, 4328, 4342, 3939
62, 3191, 3218, 2676
63, 746, 801, 49
64, 1134, 1162, 867
65, 2782, 2827, 2658
66, 3397, 3438, 3249
67, 2526, 2553, 2122
68, 3043, 3091, 2641
69, 200, 267, 14
70, 675, 705, 333
71, 4102, 4119, 3849
72, 2725, 2743, 2600
73, 3074, 3133, 2597
74, 65, 118, 4
75, 3036, 3066, 2589
76, 4212, 4218, 3798
77, 2235, 2296, 2027
78, 889, 898, 739
79, 168, 198, 33
80, 3284, 3308, 3150
81, 1814, 1835, 1570
82, 200, 263, 30
83, 1439, 1473, 1109
84, 3243, 3291, 3093
85, 539, 546, 198
86, 3519, 3544, 3089
87, 574, 603, 189
88, 1784, 1805, 1507
89, 103, 160, 36
90, 3999, 4020, 3691
91, 895, 927, 653
92, 3487, 3540, 3082
93, 1627, 1639, 1489
94, 1063, 1083, 1063
95, 531, 540, 172
96, 2118, 2150, 1905
97, 1758, 1796, 1481
98, 3315, 3321, 3034
99, 458, 491, 144
100, 2741, 2779, 2390
