PID, Wait Time, Turnaround, Response2, 32, 51, 1
3, 1994, 2015, 1
4, 1928, 1940, 1598
5, 65, 125, 0
6, 2183, 2198, 1983
7, 2315, 2339, 2277
8, 2406, 2421, 2269
9, 76, 108, 19
10, 1581, 1588, 1535
11, 3034, 3078, 2749
12, 2462, 2464, 2428
13, 2856, 2897, 2718
14, 95, 114, 4
15, 3069, 3113, 2721
16, 2377, 2406, 2199
17, 1448, 1477, 1260
18, 1073, 1103, 117
19, 108, 136, 3
20, 2128, 2148, 1847
21, 1154, 1178, 90
22, 19, 41, 0
23, 1727, 1740, 1424
24, 1346, 1357, 1200
25, 2073, 2093, 1813
26, 21, 56, 1
27, 1892, 1931, 1798
28, 2190, 2205, 2093
29, 1749, 1785, 1374
30, 1929, 1938, 1785
31, 2932, 2997, 2583
32, 12, 38, 6
33, 1532, 1541, 1345
34, 1287, 1307, 1127
35, 2176, 2189, 2031
36, 1024, 1064, 4
37, 2887, 2911, 2526
38, 37, 53, 2
39, 54, 75, 1
40, 2816, 2832, 2507
41, 2688, 2701, 2502
42, 2422, 2446, 2184
43, 1118, 1147, 1047
44, 64, 89, 6
45, 851, 866, 630
46, 180, 200, 10
47, 899, 914, 609
48, 293, 314, 51
49, 2796, 2822, 2442
50, 466, 502, 358
51, 35, 39, 21
52, 1680, 1689, 1581
53, 784, 850, 561
54, 501, 517, 320
55, 1472, 1484, 1143
56, 2234, 2278, 2052
57, 2150, 2157, 2047
58, 1125, 1146, 1125
59, 2449, 2480, 2336
60, 15, 28, 7
61, 234, 296, 16
62, 215, 228, 10
63, 1408, 1427, 1064
64, 1109, 1123, 1063
65, 2550, 2569, 2278
66, 1928, 1954, 1747
67, 1132, 1141, 1051
68, 35, 53, 1
69, 1178, 1189, 1032
70, 141, 173, 91
71, 769, 796, 410
72, 53, 69, 5
73, 2069, 2123, 1912
74, 1549, 1564, 1391
75, 1726, 1770, 1665
76, 1230, 1263, 969
77, 1354, 1375, 1354
78, 2111, 2133, 1848
79, 2227, 2235, 2154
80, 252, 275, 65
81, 1560, 1575, 1308
82, 304, 309, 269
83, 1544, 1562, 1290
84, 1157, 1222, 875
85, 2092, 2104, 2092
86, 1814, 1859, 1762
87, 586, 613, 236
88, 8, 26, 3
89, 649, 700, 601
90, 140, 153, 8
91, 437, 454, 184
92, 56, 79, 0
93, 32, 38, 7
94, 230, 239, 163
95, 1846, 1889, 1671
96, 633, 661, 533
97, 670, 686, 527
98, 1020, 1057, 739
99, 1900, 1957, 1649
100, 1336, 1348, 1121
