PID, Wait Time, Turnaround, Response
2, 1632, 1661, 0
3, 54, 81, 1
4, 14, 27, 0
5, 2194, 2208, 2155
6, 48, 74, 9
7, 2025, 2066, 1779
8, 2102, 2173, 1781
9, 16, 41, 11
10, 21, 86, 13
11, 102, 112, 12
12, 1212, 1227, 5
13, 10, 45, 2
14, 1653, 1663, 1506
15, 0, 44, 0
16, 14, 54, 7
17, 1141, 1147, 32
18, 13, 19, 7
19, 1621, 1667, 1461
20, 1331, 1382, 1189
21, 28, 48, 5
22, 864, 874, 194
23, 136, 171, 19
24, 174, 217, 148
25, 104, 146, 16
26, 118, 133, 17
27, 10, 18, 2
28, 1324, 1380, 1100
29, 1540, 1553, 1540
30, 1056, 1075, 931
31, 1457, 1470, 1321
32, 1052, 1089, 1052
33, 4, 19, 4
34, 1785, 1853, 1483
35, 1928, 1939, 1816
36, 8, 42, 1
37, 1364, 1379, 1258
38, 1946, 1954, 1774
39, 957, 990, 830
40, 609, 613, 2
41, 9, 57, 8
42, 37, 57, 2
43, 97, 99, 97
44, 524, 563, 116
45, 516, 564, 442
46, 687, 697, 560
47, 52, 63, 6
48, 26, 45, 5
49, 525, 577, 428
50, 1456, 1476, 1347
51, 1216, 1268, 1142
52, 580, 631, 526
53, 167, 184, 52
54, 1163, 1172, 1122
55, 1228, 1240, 1127
56, 1643, 1684, 1643
57, 428, 462, 384
58, 7, 42, 0
59, 1807, 1819, 1616
60, 1531, 1538, 1270
61, 803, 845, 803
62, 729, 781, 642
63, 26, 51, 2
64, 295, 354, 61
65, 1337, 1356, 1231
66, 860, 864, 762
67, 17, 71, 5
68, 174, 228, 26
69, 428, 477, 374
70, 1398, 1416, 1179
71, 837, 847, 717
72, 582, 637, 559
73, 30, 43, 2
74, 1522, 1576, 1480
75, 11, 46, 11
76, 63, 81, 20
77, 893, 909, 693
78, 82, 109, 56
79, 237, 248, 196
80, 1364, 1406, 1118
81, 1579, 1585, 1432
82, 239, 250, 163
83, 406, 419, 255
84, 380, 428, 243
85, 788, 810, 587
86, 51, 105, 2
87, 682, 700, 566
88, 752, 765, 572
89, 44, 59, 44
90, 1263, 1286, 1004
91, 327, 348, 180
92, 1395, 1420, 1302
93, 593, 604, 516
94, 32, 47, 32
95, 870, 926, 728
96, 1021, 1032, 920
97, 1198, 1241, 919
98, 3, 32, 3
99, 1411, 1428, 1236
100, 0, 13, 0
