PID, Wait Time, Turnaround, Response2, 5272, 5293, 11
3, 38, 78, 7
4, 2113, 2162, 14
5, 4797, 4814, 4653
6, 1610, 1622, 12
7, 4301, 4310, 4032
8, 4020, 4022, 4020
9, 1836, 1840, 1836
10, 3217, 3230, 2782
11, 3727, 3743, 3376
12, 125, 144, 15
13, 4584, 4601, 4584
14, 349, 353, 270
15, 4527, 4547, 3955
16, 3789, 3810, 3321
17, 1876, 1888, 1749
18, 5089, 5108, 4514
19, 2954, 2990, 2680
20, 2966, 2971, 2681
21, 62, 78, 17
22, 158, 166, 79
23, 4835, 4903, 4482
24, 1570, 1631, 238
25, 3178, 3189, 2653
26, 1609, 1634, 222
27, 88, 142, 49
28, 98, 132, 58
29, 149, 200, 130
30, 2824, 2836, 2632
31, 4324, 4343, 3810
32, 4332, 4349, 3820
33, 4769, 4818, 4423
34, 2512, 2530, 2132
35, 4760, 4766, 4415
36, 2107, 2111, 2107
37, 2051, 2068, 1588
38, 4190, 4203, 3779
39, 1712, 1742, 1593
40, 2257, 2311, 2063
41, 2160, 2209, 2052
42, 4772, 4807, 4338
43, 28, 50, 9
44, 1885, 1900, 1525
45, 2107, 2118, 2014
46, 1918, 1941, 1508
47, 56, 62, 17
48, 2086, 2111, 1982
49, 146, 209, 54
50, 1717, 1779, 1474
51, 82, 134, 61
52, 2590, 2593, 2413
53, 2040, 2056, 1950
54, 4369, 4420, 4211
55, 0, 19, 0
56, 1305, 1338, 983
57, 2875, 2897, 2360
58, 1714, 1723, 1421
59, 3104, 3163, 2909
60, 4426, 4439, 4165
61, 4601, 4616, 4181
62, 3467, 3488, 2905
63, 773, 829, 60
64, 1245, 1275, 923
65, 2962, 3007, 2875
66, 3685, 3718, 3497
67, 2763, 2784, 2285
68, 3380, 3412, 2853
69, 235, 295, 14
70, 642, 672, 328
71, 4325, 4352, 4080
72, 3008, 3018, 2817
73, 3329, 3380, 2809
74, 68, 104, 5
75, 3312, 3335, 2799
76, 4502, 4520, 4046
77, 2429, 2482, 2186
78, 971, 981, 798
79, 199, 211, 44
80, 3570, 3576, 3378
81, 1955, 1987, 1698
82, 232, 307, 34
83, 1599, 1617, 1187
84, 3426, 3484, 3325
85, 624, 644, 226
86, 3804, 3841, 3324
87, 644, 667, 214
88, 1954, 1968, 1640
89, 87, 144, 33
90, 4274, 4296, 3927
91, 1019, 1035, 702
92, 3757, 3812, 3301
93, 1802, 1815, 1621
94, 1245, 1247, 1134
95, 507, 526, 194
96, 2366, 2391, 2058
97, 1930, 1952, 1602
98, 3576, 3583, 3260
99, 517, 533, 157
100, 2991, 3021, 2599
