PID, Wait Time, Turnaround, Response2, 3105, 3134, 2874
3, 1628, 1670, 1
4, 1, 32, 1
5, 3820, 3852, 3820
6, 11, 54, 5
7, 3550, 3607, 3199
8, 3761, 3827, 3202
9, 17, 41, 14
10, 1781, 1864, 1551
11, 2178, 2185, 1978
12, 2288, 2317, 1992
13, 31, 84, 3
14, 3026, 3034, 2759
15, 5, 49, 5
16, 17, 74, 3
17, 2028, 2050, 1939
18, 5, 47, 5
19, 3020, 3101, 2723
20, 2514, 2583, 2242
21, 55, 71, 7
22, 1720, 1764, 1429
23, 945, 995, 68
24, 1325, 1385, 1112
25, 921, 961, 82
26, 971, 1001, 96
27, 18, 44, 11
28, 2443, 2532, 2156
29, 2955, 2968, 2955
30, 2102, 2117, 1811
31, 2860, 2872, 2592
32, 2134, 2171, 2134
33, 21, 36, 21
34, 3387, 3450, 2906
35, 3606, 3615, 3482
36, 40, 92, 40
37, 2657, 2670, 2529
38, 3781, 3786, 3460
39, 2014, 2062, 1736
40, 1341, 1344, 1223
41, 950, 1016, 950
42, 44, 77, 1
43, 630, 632, 630
44, 1098, 1136, 917
45, 1028, 1094, 944
46, 1539, 1585, 1188
47, 210, 255, 37
48, 83, 101, 40
49, 1097, 1164, 922
50, 2783, 2839, 2783
51, 2409, 2497, 2409
52, 1268, 1318, 1166
53, 801, 851, 565
54, 2436, 2463, 2436
55, 2530, 2559, 2436
56, 3338, 3379, 3338
57, 981, 1015, 880
58, 418, 452, 15
59, 3618, 3625, 3319
60, 3187, 3210, 2739
61, 1894, 1936, 1894
62, 1777, 1828, 1552
63, 38, 96, 6
64, 672, 764, 487
65, 2875, 2893, 2702
66, 1855, 1895, 1855
67, 42, 114, 22
68, 562, 615, 456
69, 1113, 1161, 1017
70, 2991, 3025, 2666
71, 1972, 1999, 1818
72, 1560, 1615, 1471
73, 59, 88, 10
74, 3191, 3263, 3191
75, 37, 72, 37
76, 106, 156, 46
77, 2107, 2138, 1821
78, 314, 338, 221
79, 711, 740, 711
80, 2929, 2986, 2619
81, 3264, 3304, 3136
82, 813, 841, 669
83, 1240, 1249, 916
84, 1237, 1281, 899
85, 2029, 2066, 1712
86, 97, 146, 12
87, 1827, 1843, 1710
88, 1922, 1969, 1712
89, 94, 109, 94
90, 2917, 2936, 2516
91, 1178, 1232, 861
92, 3145, 3206, 3047
93, 1694, 1741, 1694
94, 551, 566, 551
95, 2241, 2328, 2054
96, 2599, 2628, 2458
97, 2857, 2914, 2466
98, 182, 211, 182
99, 3228, 3278, 2993
100, 37, 50, 23
