PID, Wait Time, Turnaround, Response2, 2603, 2624, 0
3, 30, 70, 6
4, 75, 124, 22
5, 2380, 2397, 2306
6, 35, 47, 2
7, 2120, 2129, 1980
8, 1962, 1964, 1962
9, 95, 99, 95
10, 1483, 1496, 101
11, 1794, 1810, 1623
12, 46, 65, 3
13, 2238, 2255, 2238
14, 54, 58, 46
15, 2181, 2201, 1907
16, 1807, 1828, 1574
17, 14, 26, 10
18, 2433, 2452, 2157
19, 1355, 1391, 2
20, 1367, 1372, 4
21, 31, 47, 5
22, 57, 65, 13
23, 2302, 2370, 2134
24, 113, 174, 63
25, 1442, 1453, 1227
26, 105, 130, 46
27, 29, 83, 11
28, 29, 63, 12
29, 27, 78, 27
30, 1300, 1312, 1207
31, 2007, 2026, 1756
32, 2012, 2029, 1759
33, 2230, 2279, 2065
34, 1153, 1171, 947
35, 2215, 2221, 2052
36, 923, 927, 923
37, 102, 119, 29
38, 1908, 1921, 1710
39, 40, 70, 22
40, 976, 1030, 881
41, 918, 967, 866
42, 2180, 2215, 1958
43, 17, 39, 1
44, 173, 188, 19
45, 879, 890, 811
46, 746, 769, 10
47, 19, 25, 1
48, 831, 856, 776
49, 49, 112, 6
50, 672, 734, 591
51, 27, 79, 4
52, 1063, 1066, 976
53, 797, 813, 752
54, 1905, 1956, 1839
55, 8, 27, 8
56, 32, 65, 4
57, 1131, 1153, 927
58, 623, 632, 543
59, 1246, 1305, 1149
60, 1909, 1922, 1794
61, 2003, 2018, 1792
62, 1422, 1443, 1134
63, 46, 102, 0
64, 443, 473, 29
65, 1151, 1196, 1113
66, 1516, 1549, 1428
67, 1044, 1065, 851
68, 1344, 1376, 1087
69, 26, 86, 3
70, 124, 154, 24
71, 1812, 1839, 1693
72, 1138, 1148, 1045
73, 1288, 1339, 1032
74, 25, 61, 0
75, 1274, 1297, 1016
76, 1868, 1886, 1650
77, 845, 898, 742
78, 321, 331, 284
79, 24, 36, 7
80, 1393, 1399, 1304
81, 631, 663, 495
82, 44, 119, 2
83, 413, 431, 310
84, 1285, 1343, 1242
85, 162, 182, 43
86, 1475, 1512, 1241
87, 169, 192, 29
88, 587, 601, 424
89, 3, 60, 0
90, 1701, 1723, 1531
91, 234, 250, 185
92, 1438, 1493, 1204
93, 497, 510, 401
94, 263, 265, 239
95, 110, 129, 9
96, 737, 762, 611
97, 549, 571, 384
98, 1306, 1313, 1165
99, 102, 118, 21
100, 1002, 1032, 815
