PID, Wait Time, Turnaround, Response
2, 2010, 2041, 0
3, 132, 150, 1
4, 8, 23, 2
5, 2710, 2718, 2631
6, 59, 80, 6
7, 2482, 2520, 2158
8, 2576, 2646, 2174
9, 12, 39, 2
10, 67, 126, 11
11, 1518, 1532, 57
12, 1546, 1567, 49
13, 19, 58, 8
14, 2020, 2032, 1847
15, 1, 45, 1
16, 20, 55, 6
17, 1449, 1460, 1296
18, 19, 29, 10
19, 1994, 2047, 1804
20, 1653, 1707, 1497
21, 33, 51, 0
22, 1195, 1212, 7
23, 195, 231, 31
24, 912, 952, 206
25, 108, 154, 22
26, 167, 191, 10
27, 15, 25, 0
28, 1665, 1729, 1402
29, 1967, 1972, 1928
30, 1349, 1364, 1163
31, 1826, 1842, 1665
32, 1387, 1416, 1354
33, 7, 14, 5
34, 2261, 2319, 1872
35, 2421, 2435, 2286
36, 40, 68, 13
37, 1752, 1761, 1600
38, 2451, 2464, 2243
39, 1255, 1288, 1061
40, 849, 854, 771
41, 614, 664, 4
42, 91, 118, 7
43, 5, 7, 5
44, 693, 726, 586
45, 670, 721, 588
46, 930, 947, 724
47, 100, 120, 3
48, 59, 72, 6
49, 691, 749, 565
50, 1872, 1896, 1730
51, 1596, 1644, 1481
52, 782, 835, 691
53, 502, 521, 81
54, 1513, 1524, 1458
55, 1620, 1628, 1458
56, 2116, 2157, 2116
57, 559, 594, 516
58, 41, 71, 5
59, 2317, 2337, 2085
60, 1974, 1987, 1657
61, 1169, 1195, 1101
62, 1001, 1056, 866
63, 45, 69, 4
64, 402, 472, 66
65, 1785, 1798, 1616
66, 1183, 1191, 1060
67, 29, 87, 6
68, 303, 360, 38
69, 629, 671, 542
70, 1863, 1878, 1561
71, 1171, 1185, 1009
72, 822, 869, 776
73, 49, 59, 0
74, 2022, 2070, 1954
75, 8, 35, 2
76, 66, 93, 7
77, 1221, 1235, 985
78, 180, 206, 71
79, 387, 392, 327
80, 1804, 1852, 1495
81, 2079, 2092, 1898
82, 383, 397, 286
83, 633, 652, 416
84, 622, 676, 401
85, 1129, 1151, 872
86, 47, 103, 0
87, 1017, 1029, 849
88, 1091, 1112, 854
89, 51, 66, 51
90, 1741, 1763, 1382
91, 560, 580, 337
92, 1915, 1937, 1768
93, 947, 954, 802
94, 170, 177, 147
95, 1256, 1314, 1057
96, 1431, 1436, 1297
97, 1665, 1716, 1298
98, 17, 38, 6
99, 1924, 1953, 1703
100, 2, 15, 2
