PID, Wait Time, Turnaround, Response

1, 2129, 2177, 0
2, 95, 124, 0
3, 34, 76, 12
4, 0, 31, 0
5, 1908, 1940, 1908
6, 12, 55, 0
7, 1763, 1820, 1580
8, 1865, 1931, 1572
9, 12, 36, 4
10, 6, 89, 1
11, 8, 15, 2
12, 92, 121, 31
13, 8, 61, 1
14, 1396, 1404, 3
15, 6, 50, 6
16, 5, 62, 1
17, 970, 992, 250
18, 1, 43, 1
19, 1415, 1496, 1283
20, 1188, 1257, 1057
21, 22, 38, 3
22, 205, 249, 186
23, 118, 168, 13
24, 148, 208, 115
25, 99, 139, 9
26, 117, 147, 38
27, 16, 42, 12
28, 1093, 1182, 960
29, 1329, 1342, 1329
30, 917, 932, 822
31, 1264, 1276, 1154
32, 919, 956, 919
33, 2, 17, 2
34, 1512, 1575, 1283
35, 1623, 1632, 1567
36, 1, 53, 1
37, 1151, 1164, 1094
38, 1692, 1697, 1531
39, 818, 866, 721
40, 536, 539, 4
41, 6, 72, 6
42, 17, 50, 5
43, 34, 36, 34
44, 459, 497, 136
45, 428, 494, 335
46, 600, 646, 489
47, 42, 87, 6
48, 25, 43, 6
49, 441, 508, 328
50, 1142, 1198, 1142
51, 976, 1064, 976
52, 509, 559, 472
53, 26, 76, 6
54, 958, 985, 958
55, 1011, 1040, 957
56, 1403, 1444, 1403
57, 380, 414, 282
58, 41, 75, 22
59, 1527, 1534, 1374
60, 1306, 1329, 1067
61, 670, 712, 670
62, 611, 662, 555
63, 10, 68, 1
64, 73, 165, 13
65, 1118, 1136, 1028
66, 640, 680, 640
67, 23, 95, 20
68, 47, 100, 37
69, 352, 400, 316
70, 1157, 1191, 990
71, 658, 685, 585
72, 488, 543, 466
73, 14, 43, 2
74, 1243, 1315, 1243
75, 25, 60, 25
76, 48, 98, 30
77, 725, 756, 571
78, 72, 96, 41
79, 154, 183, 154
80, 1095, 1152, 934
81, 1245, 1285, 1195
82, 165, 193, 117
83, 314, 323, 191
84, 290, 334, 180
85, 624, 661, 457
86, 35, 84, 0
87, 515, 531, 450
88, 551, 598, 459
89, 20, 35, 20
90, 1030, 1049, 822
91, 239, 293, 134
92, 1121, 1182, 1066
93, 402, 449, 402
94, 14, 29, 14
95, 645, 732, 574
96, 810, 839, 742
97, 955, 1012, 744
98, 2, 31, 2
99, 1137, 1187, 1012
100, 5, 18, 0
