PID, Wait Time, Turnaround, Response2, 4560, 4613, 4065
3, 14, 90, 14
4, 1638, 1704, 10
5, 4042, 4077, 4042
6, 46, 90, 3
7, 3674, 3681, 3467
8, 3492, 3494, 3492
9, 1577, 1581, 1577
10, 2866, 2877, 2383
11, 3030, 3081, 2909
12, 102, 150, 21
13, 3984, 4001, 3984
14, 264, 266, 243
15, 3854, 3906, 3430
16, 3135, 3152, 2854
17, 1499, 1529, 1499
18, 4417, 4451, 3916
19, 2440, 2493, 2287
20, 2461, 2464, 2295
21, 30, 80, 8
22, 105, 130, 55
23, 4083, 4149, 3893
24, 432, 527, 170
25, 2641, 2683, 2256
26, 1224, 1264, 153
27, 98, 152, 41
28, 60, 112, 60
29, 128, 179, 108
30, 2397, 2427, 2269
31, 3699, 3752, 3278
32, 3757, 3771, 3301
33, 4030, 4096, 3848
34, 2130, 2164, 1795
35, 4024, 4047, 3852
36, 1769, 1773, 1769
37, 1701, 1713, 1341
38, 3556, 3604, 3259
39, 1353, 1401, 1353
40, 1724, 1814, 1724
41, 1718, 1785, 1718
42, 4203, 4237, 3777
43, 28, 68, 15
44, 1623, 1636, 1288
45, 1696, 1725, 1696
46, 1529, 1585, 1284
47, 38, 61, 11
48, 1666, 1709, 1666
49, 128, 206, 31
50, 1388, 1467, 1249
51, 89, 141, 61
52, 2196, 2198, 2037
53, 1645, 1679, 1645
54, 3650, 3719, 3650
55, 3, 22, 3
56, 1072, 1102, 861
57, 2394, 2428, 1996
58, 1365, 1390, 1215
59, 2597, 2674, 2454
60, 3918, 3931, 3614
61, 4007, 4020, 3623
62, 2857, 2910, 2448
63, 590, 641, 34
64, 1020, 1047, 814
65, 2590, 2635, 2431
66, 2974, 3043, 2974
67, 2292, 2345, 1922
68, 2808, 2855, 2403
69, 180, 274, 32
70, 632, 661, 336
71, 3700, 3745, 3524
72, 2364, 2410, 2364
73, 2789, 2874, 2351
74, 48, 100, 0
75, 2666, 2722, 2346
76, 3771, 3803, 3489
77, 2002, 2091, 1822
78, 844, 853, 691
79, 170, 199, 40
80, 3001, 3025, 2867
81, 1538, 1586, 1387
82, 186, 274, 38
83, 1248, 1279, 974
84, 2809, 2885, 2809
85, 495, 530, 208
86, 3105, 3156, 2833
87, 487, 541, 194
88, 1492, 1539, 1332
89, 104, 161, 54
90, 3656, 3676, 3375
91, 744, 774, 607
92, 3165, 3216, 2800
93, 1482, 1494, 1332
94, 951, 971, 951
95, 478, 514, 184
96, 1868, 1928, 1706
97, 1546, 1581, 1320
98, 3121, 3127, 2788
99, 461, 493, 157
100, 2476, 2542, 2170
