PID, Wait Time, Turnaround, Response
2, 39, 70, 0
3, 20, 38, 0
4, 7, 22, 6
5, 1286, 1294, 21
6, 8, 29, 0
7, 41, 79, 1
8, 1180, 1250, 4
9, 4, 31, 0
10, 5, 64, 1
11, 15, 29, 1
12, 36, 57, 2
13, 5, 44, 2
14, 66, 78, 12
15, 0, 44, 0
16, 4, 39, 0
17, 19, 30, 1
18, 3, 13, 1
19, 904, 957, 13
20, 10, 64, 7
21, 21, 39, 1
22, 129, 146, 12
23, 66, 102, 8
24, 90, 130, 74
25, 48, 94, 10
26, 50, 74, 1
27, 1, 11, 0
28, 115, 179, 72
29, 846, 851, 825
30, 58, 73, 31
31, 757, 773, 80
32, 40, 69, 22
33, 1, 8, 0
34, 926, 984, 769
35, 1007, 1021, 944
36, 3, 31, 2
37, 686, 695, 25
38, 992, 1005, 902
39, 44, 77, 1
40, 5, 10, 0
41, 1, 51, 0
42, 18, 45, 0
43, 5, 7, 5
44, 108, 141, 5
45, 56, 107, 3
46, 216, 233, 124
47, 18, 38, 0
48, 12, 25, 3
49, 93, 151, 24
50, 689, 713, 630
51, 581, 629, 536
52, 128, 181, 90
53, 36, 55, 2
54, 537, 548, 515
55, 563, 571, 513
56, 771, 812, 771
57, 40, 75, 27
58, 9, 39, 0
59, 844, 864, 738
60, 683, 696, 553
61, 355, 381, 299
62, 312, 367, 105
63, 14, 38, 0
64, 58, 128, 9
65, 582, 595, 509
66, 345, 353, 291
67, 4, 62, 2
68, 19, 76, 5
69, 29, 71, 7
70, 574, 589, 453
71, 302, 316, 236
72, 113, 160, 88
73, 14, 24, 0
74, 630, 678, 602
75, 7, 34, 4
76, 27, 54, 4
77, 304, 318, 211
78, 34, 60, 1
79, 37, 42, 29
80, 515, 563, 386
81, 630, 643, 547
82, 9, 23, 1
83, 28, 47, 0
84, 65, 119, 0
85, 196, 218, 99
86, 26, 82, 2
87, 144, 156, 75
88, 167, 188, 75
89, 0, 15, 0
90, 418, 440, 270
91, 22, 42, 5
92, 487, 509, 416
93, 80, 87, 22
94, 0, 7, 0
95, 162, 220, 104
96, 245, 250, 183
97, 328, 379, 180
98, 0, 21, 0
99, 454, 483, 352
100, 2, 15, 2
