PID, Wait Time, Turnaround, Response
2, 0, 29, 0
3, 19, 35, 9
4, 0, 31, 0
5, 7, 11, 5
6, 0, 43, 0
7, 47, 77, 0
8, 20, 88, 2
9, 11, 36, 5
10, 6, 61, 2
11, 5, 13, 0
12, 20, 51, 5
13, 5, 58, 3
14, 7, 15, 4
15, 0, 44, 0
16, 0, 57, 0
17, 0, 23, 0
18, 0, 14, 0
19, 12, 66, 0
20, 4, 73, 4
21, 150, 168, 0
22, 14, 31, 5
23, 30, 53, 4
24, 59, 92, 41
25, 34, 75, 7
26, 30, 61, 7
27, 1, 27, 0
28, 39, 102, 9
29, 2, 15, 2
30, 12, 28, 2
31, 16, 28, 11
32, 0, 37, 0
33, 1, 16, 1
34, 30, 95, 0
35, 6, 16, 2
36, 0, 52, 0
37, 4, 18, 1
38, 33, 40, 0
39, 9, 30, 0
40, 10, 13, 2
41, 0, 66, 0
42, 8, 43, 0
43, 0, 2, 0
44, 0, 38, 0
45, 7, 73, 0
46, 656, 674, 4
47, 12, 30, 3
48, 7, 26, 3
49, 24, 92, 14
50, 175, 203, 82
51, 71, 131, 44
52, 34, 85, 13
53, 12, 36, 1
54, 48, 75, 48
55, 58, 88, 46
56, 514, 555, 514
57, 19, 53, 3
58, 15, 50, 3
59, 542, 552, 485
60, 375, 399, 20
61, 1, 43, 1
62, 11, 63, 2
63, 12, 43, 2
64, 28, 95, 0
65, 175, 194, 62
66, 43, 55, 39
67, 1, 73, 1
68, 14, 68, 4
69, 4, 52, 0
70, 325, 332, 19
71, 8, 36, 2
72, 1, 56, 1
73, 18, 48, 3
74, 361, 405, 350
75, 3, 38, 3
76, 21, 44, 7
77, 75, 107, 47
78, 31, 56, 11
79, 10, 39, 10
80, 275, 334, 194
81, 332, 345, 298
82, 5, 33, 2
83, 18, 29, 0
84, 12, 58, 9
85, 103, 114, 4
86, 22, 75, 4
87, 67, 84, 37
88, 82, 103, 43
89, 20, 35, 20
90, 170, 192, 115
91, 3, 29, 0
92, 189, 222, 167
93, 12, 31, 5
94, 3, 18, 3
95, 36, 98, 2
96, 56, 85, 43
97, 80, 139, 43
98, 7, 36, 7
99, 153, 178, 102
100, 7, 20, 3
