PID, Wait Time, Turnaround, Response2, 3281, 3310, 3089
3, 1856, 1872, 1
4, 1, 32, 1
5, 4238, 4242, 4121
6, 61, 104, 12
7, 3917, 3947, 3446
8, 4035, 4103, 3440
9, 23, 48, 13
10, 1870, 1925, 59
11, 2343, 2351, 2126
12, 2471, 2502, 2128
13, 43, 96, 21
14, 3230, 3238, 2964
15, 2, 46, 2
16, 24, 81, 12
17, 2238, 2261, 2078
18, 126, 140, 18
19, 3254, 3308, 2923
20, 2652, 2721, 2425
21, 75, 93, 8
22, 1918, 1935, 1546
23, 1115, 1138, 97
24, 1492, 1525, 1240
25, 988, 1029, 88
26, 1078, 1109, 100
27, 21, 47, 10
28, 2749, 2812, 2326
29, 3198, 3211, 3198
30, 2249, 2265, 1943
31, 3051, 3063, 2789
32, 2286, 2323, 2286
33, 4, 19, 4
34, 3695, 3760, 3150
35, 3964, 3974, 3776
36, 44, 96, 44
37, 2923, 2937, 2726
38, 4106, 4113, 3763
39, 2181, 2202, 1866
40, 1469, 1472, 1341
41, 1052, 1118, 1052
42, 89, 124, 3
43, 692, 694, 692
44, 1188, 1226, 1030
45, 1133, 1199, 1045
46, 1663, 1681, 1288
47, 537, 555, 25
48, 101, 120, 29
49, 1215, 1283, 1026
50, 3182, 3210, 3019
51, 2741, 2801, 2615
52, 1466, 1517, 1274
53, 896, 920, 625
54, 2616, 2643, 2616
55, 2789, 2819, 2620
56, 3638, 3679, 3638
57, 1079, 1113, 987
58, 496, 531, 18
59, 3948, 3958, 3606
60, 3413, 3437, 2966
61, 2047, 2089, 2047
62, 1922, 1974, 1674
63, 94, 125, 18
64, 829, 896, 537
65, 3173, 3192, 2926
66, 2143, 2155, 2013
67, 35, 107, 16
68, 666, 720, 517
69, 1236, 1284, 1131
70, 3323, 3330, 2895
71, 2164, 2192, 1974
72, 1659, 1714, 1590
73, 77, 107, 25
74, 3578, 3622, 3475
75, 29, 64, 29
76, 160, 183, 34
77, 2263, 2295, 1965
78, 358, 383, 262
79, 817, 846, 817
80, 3264, 3323, 2827
81, 3668, 3681, 3425
82, 901, 929, 777
83, 1400, 1411, 1025
84, 1393, 1439, 1013
85, 2238, 2249, 1874
86, 112, 165, 11
87, 2049, 2066, 1856
88, 2193, 2214, 1868
89, 153, 168, 153
90, 3236, 3258, 2740
91, 1297, 1323, 974
92, 3469, 3502, 3319
93, 1903, 1922, 1830
94, 663, 678, 663
95, 2511, 2573, 2235
96, 2763, 2792, 2655
97, 3149, 3208, 2664
98, 229, 258, 229
99, 3563, 3588, 3263
100, 74, 87, 44
